국가명(국문),국가명(영문),해외바이어 수
미국,United States of America,66055
중국,China,36529
아프가니스탄,Afghanistan,33011
인도,India,30183
홍콩,"China, Hong Kong Special Administrative Region",14860
싱가포르,Singapore,8297
일본,Japan,8214
대한민국,Republic of Korea,7998
프랑스,France,7295
대만,Taiwan,6268
독일,Germany,6050
타이,Thailand,5830
오스트레일리아,Australia,5564
말레이시아,Malaysia,5011
영국,United Kingdom of Great Britain and Northern Ireland,4233
캐나다,Canada,4228
베트남,Viet Nam,4032
필리핀,Philippines,3999
인도네시아,Indonesia,3966
파키스탄,Pakistan,3563
이탈리아,Italy,3250
아랍에미리트,United Arab Emirates,3124
터키,Turkey,3027
올란드 제도,Aland Islands,2968
스페인,Spain,2966
방글라데시,Bangladesh,2489
벨기에,Belgium,2268
덴마크,Denmark,2153
이집트,Egypt,2051
스웨덴,Sweden,1930
사우디아라비아,Saudi Arabia,1916
네덜란드,Netherlands,1850
이스라엘,Israel,1778
멕시코,Mexico,1466
이란,Iran (Islamic Republic of),1424
폴란드,Poland,1313
브라질,Brazil,1253
뉴질랜드,New Zealand,1251
그리스,Greece,1229
나이지리아,Nigeria,1163
남아프리카 공화국,South Africa,1097
핀란드,Finland,1043
스리랑카,Sri Lanka,1004
스위스,Switzerland,968
콜롬비아,Colombia,936
오스트리아,Austria,836
노르웨이,Norway,835
루마니아,Romania,834
러시아,Russian Federation,755
칠레,Chile,733
쿠웨이트,Kuwait,703
헝가리,Hungary,702
알바니아,Albania,697
아르헨티나,Argentina,690
불가리아,Bulgaria,674
페루,Peru,667
케냐,Kenya,588
바레인,Bahrain,573
가나,Ghana,559
모로코,Morocco,527
볼리비아,Bolivia (Plurinational State of),514
요르단,Jordan,504
체코,Czechia,499
레바논,Lebanon,496
아일랜드,Ireland,486
카타르,Qatar,473
부탄,Bhutan,456
알제리,Algeria,446
모리셔스,Mauritius,431
포르투갈,Portugal,428
에스토니아,Estonia,414
오만,Oman,409
피지,Fiji,399
아제르바이잔,Azerbaijan,399
우크라이나,Ukraine,394
에콰도르,Ecuador,393
크로아티아,Croatia,387
미얀마,Myanmar,367
키프로스,Cyprus,352
몽골,Mongolia,348
리투아니아,Lithuania,341
카메룬,Cameroon,338
이라크,Iraq,329
쿠바,Cuba,327
중앙아프리카 공화국,Central African Republic,325
시리아,Syrian Arab Republic,324
네팔,Nepal,313
과테말라,Guatemala,313
에티오피아,Ethiopia,311
마카오,"China, Macao Special Administrative Region",311
슬로베니아,Slovenia,298
캄보디아,Cambodia,295
브루나이,Brunei Darussalam,276
아메리칸사모아,American Samoa,270
우간다,Uganda,259
짐바브웨,Zimbabwe,258
앙골라,Angola,250
트리니다드 토바고,Trinidad and Tobago,246
라트비아,Latvia,244
온두라스,Honduras,244
도미니카 공화국,Dominican Republic,243
베냉,Benin,242
보츠와나,Botswana,236
코스타리카,Costa Rica,233
가이아나,Guyana,231
감비아,Gambia,225
우루과이,Uruguay,222
바하마,Bahamas,221
탄자니아,United Republic of Tanzania,219
아이티,Haiti,217
버뮤다,Bermuda,214
벨라루스,Belarus,213
수단,Sudan,212
앵귈라,Anguilla,211
가봉,Gabon,209
부베 섬,Bouvet Island,208
리히텐슈타인,Liechtenstein,207
베네수엘라,Venezuela (Bolivarian Republic of),205
기니비사우,Guinea-Bissau,204
부룬디,Burundi,201
보스니아 헤르체고비나,Bosnia and Herzegovina,201
우즈베키스탄,Uzbekistan,200
그레나다,Grenada,199
콩고 공화국,Congo,199
적도 기니,Equatorial Guinea,198
괌,Guam,197
파나마,Panama,195
예멘,Yemen,194
차드,Chad,193
마요트,Mayotte,180
튀니지,Tunisia,175
리비아,Libya,172
아르메니아,Armenia,169
토고,Togo,168
자메이카,Jamaica,160
잠비아,Zambia,159
슬로바키아,Slovakia,151
몰디브,Maldives,140
조지아,Georgia,137
세르비아,Serbia,128
파라과이,Paraguay,126
세네갈,Senegal,124
모잠비크,Mozambique,122
몰도바,Republic of Moldova,120
푸에르토리코,Puerto Rico,117
마다가스카르,Madagascar,114
네덜란드령 안틸레스,Nederlandse Antillen,111
룩셈부르크,Luxembourg,110
수리남,Suriname,110
벨리즈,Belize,108
세이셸,Seychelles,107
르완다,Rwanda,106
바베이도스,Barbados,105
시에라리온,Sierra Leone,103
아이슬란드,Iceland,102
안도라,Andorra,101
생피에르 미클롱,Saint Pierre and Miquelon,101
조선민주주의인민공화국,Democratic People's Republic of Korea,100
파푸아뉴기니,Papua New Guinea,100
투르크메니스탄,Turkmenistan,99
코트디부아르,Republic of Cote d'Ivoire,99
말라위,Malawi,99
엘살바도르,El Salvador,98
몰타,Malta,97
라오스,Lao People's Democratic Republic,97
카자흐스탄,Kazakhstan,96
콩고 민주 공화국,Democratic Republic of the Congo,96
미국령 버진아일랜드,United States Virgin Islands,96
나미비아,Namibia,95
마케도니아 공화국,The former Yugoslav Republic of Macedonia,94
모나코,Monaco,94
영국령 버진아일랜드,British Virgin Islands,94
팔레스타인,State of Palestine,92
세인트루시아,Saint Lucia,91
도미니카 연방,Dominica,91
노퍽 섬,Norfolk Island,91
기니,Guinea,90
라이베리아,Liberia,90
니카라과,Nicaragua,89
앤티가 바부다,Antigua and Barbuda,89
퀴라소,Curacao,89
부르키나파소,Burkina Faso,89
키르기스스탄,Kyrgyzstan,89
모리타니,Mauritania,88
마셜 제도,Marshall Islands,86
저지 섬,Jersey,85
아루바,Aruba,85
나우루,Nauru,85
팔라우,Palau,85
니제르,Niger,84
산마리노,San Marino,84
레위니옹,R?union,83
프랑스령 폴리네시아,French Polynesia,83
동티모르,Timor-Leste,83
타지키스탄,Tajikistan,82
몬트세랫,Montserrat,82
보네르,"Bonaire, Sint Eustatius and Saba",82
지브롤터,Gibraltar,82
에리트레아,Eritrea,82
북마리아나 제도,Northern Mariana Islands,81
바티칸 시국,Holy See,81
스와질란드,Swaziland,81
세인트키츠 네비스,Saint Kitts and Nevis,81
누벨칼레도니,New Caledonia,81
바누아투,Vanuatu,81
토켈라우,Tokelau,81
마르티니크,Martinique,81
솔로몬 제도,Solomon Islands,80
터크스 케이커스 제도,Turks and Caicos Islands,80
맨 섬,Isle of Man,80
사모아,Samoa,80
상투메 프린시페,Sao Tome and Principe,80
그린란드,Greenland,80
케이맨 제도,Cayman Islands,80
소말리아,Somalia,80
남수단,South Sudan,78
통가,Tonga,78
왈리스 퓌튀나,Wallis and Futuna Islands,77
세인트헬레나,Saint Helena,77
프랑스령 기아나,French Guiana,77
스발바르 얀마옌,Svalbard and Jan Mayen Islands,76
포클랜드 제도,Falkland Islands (Malvinas),76
신트마르턴,Sint Maarten (Dutch part),76
건지 섬,Guernsey,76
키리바시,Kiribati,76
미크로네시아 연방,Micronesia (Federated States of),75
과들루프,Guadeloupe,74
지부티,Djibouti,72
말리,Mali,72
카보베르데,Cabo Verde,72
쿡 제도,Cook Islands,71
페로 제도,Faroe Islands,71
몬테네그로,Montenegro,71
니우에,Niue,69
투발루,Tuvalu,67
세인트빈센트 그레나딘,Saint Vincent and the Grenadines,66
레소토,Lesotho,58
코소보,Kosovo,9
미국령 군소 제도,United States Minor Outlying Islands,3
크리스마스 섬,Christmas Island,3
코코스 제도,Cocos (Keeling) Islands,2
