번호,제목,카테고리,국가명,제공기관명,신청시작일,신청종료일
109,"인도네시아 바이어가 폴리우레탄 주물, PU 폼 첨가제, 고무 첨가제 및 기계용 화학원료 및 원자재 공급업체를 찾고 있습니다.","기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",인도네시아,중소벤처기업진흥공단,2024-07-03,2024-07-17
110,"대만 바이어거가 토너, 크림, 클렌저 세트로 구성된 제품을 OEM 으로 공급 가능한 업체를 찾고 있습니다",건강 및 미용 (Health & Beauty),대만,중소벤처기업진흥공단,2024-05-03,2024-05-07
111,모로코 바이어가 벽면에 설치하는 광고용 3D 입체 광고판 공급업체를 찾고 있습니다.,전자제품 (Electronics),모로코,중소벤처기업진흥공단,2024-05-07,2024-05-17
112,영국 바이어가 뷰티살롱 사용 용도의 클렌징 워터  공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),영국,중소벤처기업진흥공단,2024-05-13,2024-05-24
113,필리핀 바이어가 화장품 전문 매장에서 판매되고 있고 브랜드 인지도 있는 중가 브랜드 제품의 스킨케어 및 색조 화장품 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),필리핀,중소벤처기업진흥공단,2024-05-13,2024-05-14
114,베트남 바이어가 진세노사이드 함량 10m/mg 이상의 인삼 추출물을 찾고 있습니다.,농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-05-13,2024-05-24
115,홍콩바이어가 조미오징어 (dried Squid snack products) 제조공급사를 찾고 계십니다.,농업 및 식품 (Agriculture & Food),홍콩,중소벤처기업진흥공단,2024-05-17,2024-05-31
116,"말레이시아 바이어가 2,3,4웨이 볼밸브 (2-4way ball valves)를 찾고 있습니다.","기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",말레이시아,중소벤처기업진흥공단,2024-05-17,2024-05-23
117,캄보디아 바이어가 숙취해소 또는 숙취완화기능제품(Hangver Relieving and Functional Product),농업 및 식품 (Agriculture & Food),캄보디아,중소벤처기업진흥공단,2024-04-24,2024-05-23
118,파키스탄 바이어가 고무노화방지왁스(Anti Ozone Wax)와 합성고무(Synthetic rubber)의 공급사를 찾고 있습니다.,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",파키스탄,중소벤처기업진흥공단,2024-05-20,2024-06-19
119,"이란 바이어가 의료용품, 수술용 조명, 청진기, 주사기 및 바늘 등의 공급업체를 찾고 있습니다.",건강 및 미용 (Health & Beauty),이란,중소벤처기업진흥공단,2024-05-20,2024-06-05
120,이란 바이어가 피부과에서 사용되는 피부미용 레이지 기기 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),이란,중소벤처기업진흥공단,2024-05-20,2024-06-05
121,"미국바이어가 40~90대 에게 적합한 안티에이징. 수분공급 및 애프터 케어용 마이크로 니들링 (더마롤러종류 / 마이크로니들링 더마펜 기계), 항산화 / 펩타이드 / PDRN /  아미노산 스킨케어제품 공급업체를 찾고 계십니다.",건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-05-21,2024-06-04
122,미국 한인 바이어가 이너뷰티 건강식품(Inner Beauty) 공급자를 찾습니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-05-22,2024-05-24
123,싱가포르바이어가 좌식등받이 의자(자세교정의자 ergonomic chair)를 찾고 있습니다.,"가정, 조명 및 장치 (Home, Lights & Construction)",싱가포르,중소벤처기업진흥공단,2024-05-29,2024-06-12
124,"베트남 바이어가 즉석식품 (밥종류, 떡뽁이 제외) 공급업체를 찾고 있습니다.",농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-06-03,2024-06-15
125,"베트남 바이어가 키즈, 베이비 건강기능식품(functional healthy food with marketing point)을 찾고 있습니다.",농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-06-04,2024-06-10
126,폴란드 바이어가 불닭볶음면 같은 비빔 라면 공급업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),폴란드,중소벤처기업진흥공단,2024-06-04,2024-06-15
127,태국 바이어가 국내산 맥주(Beer) 제조사를 찾습니다,농업 및 식품 (Agriculture & Food),타이,중소벤처기업진흥공단,2024-06-04,2024-06-11
128,베트남 바이어가 홍삼 캔디 제조사를 찾습니다. (유통사 불가),농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-06-05,2024-06-19
129,태국 바이어가  히이드롤릭 실 (Hydraulic Seal)과 부품 공급사를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",타이,중소벤처기업진흥공단,2024-06-11,2024-07-12
130,태국 바이어가 비건식품 공급업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),타이,중소벤처기업진흥공단,2024-06-11,2024-06-17
131,브루나이 바이어가 할랄 인증을 받은 스낵 제품을 찾습니다. (할랄 인증서 필수),농업 및 식품 (Agriculture & Food),브루나이,중소벤처기업진흥공단,2024-06-11,2024-06-25
132,오스트레일리아 바이어가 &apos;멀티 유스 밤(Multi use balm)&apos; 제품을 찾고 있습니다.(브랜드사만 신청가능),건강 및 미용 (Health & Beauty),오스트레일리아,중소벤처기업진흥공단,2024-06-13,2024-06-25
133,오스트레일리아 바이어가 &apos;자외선 차단제(Sunscreen)&apos; 제품을 찾고 있습니다.(브랜드사만 신청가능),건강 및 미용 (Health & Beauty),오스트레일리아,중소벤처기업진흥공단,2024-06-13,2024-06-18
134,인도네시아 바이어가 스낵 및 구미젤리 제품 제조사(only 제조업체)를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),인도네시아,중소벤처기업진흥공단,2024-06-14,2024-06-21
135,캄보디아 바이이가 메이크업제품군 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),캄보디아,중소벤처기업진흥공단,2024-06-17,2024-06-24
136,독일 바이어가  스킨케어 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),독일,중소벤처기업진흥공단,2024-06-18,2024-06-19
137,"말레이시아 바이이가 좌식자세교정의자(Chair Cushion,  Correct Sitting, ergonomic chair) 제품군을 찾습니다.","가정, 조명 및 장치 (Home, Lights & Construction)",말레이시아,중소벤처기업진흥공단,2024-06-18,2024-06-25
138,미국 바이어가 손톱 붙이는 Glue 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-06-18,2024-06-24
139,말레이시아 바이어가 자동전환스위치 (Auto transfer switch) 공급업체를 찾고 있습니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",말레이시아,중소벤처기업진흥공단,2024-06-18,2024-06-25
140,말레이시아 바이어가 키즈용 멀티 비타민을 찾고 있습니다.,농업 및 식품 (Agriculture & Food),말레이시아,중소벤처기업진흥공단,2024-06-21,2024-06-24
141,필리핀 바이어가 C-ARM X-Ray Machine (모바일 엑스레이) 제조공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),필리핀,중소벤처기업진흥공단,2024-06-25,2024-07-31
142,스페인 바이어가 침구류 또는 파자마 생산에 사용되는 보습 기능성 원단 공급업체를 찾고 있습니다.,"의류, 직물 및 액세서리 (Apparel, Textiles & Accessories)",스페인,중소벤처기업진흥공단,2024-07-03,2024-07-12
143,"싱가포르 바이어가 유아를 위한 체온계, 젖병 살균기 OEM이 가능한 제조사 찾고 있습니다.",전자제품 (Electronics),싱가포르,중소벤처기업진흥공단,2024-07-03,2024-07-31
144,글로벌기업의 베트남 지상에서 &quot;PCB 보드 (PCB Board)&quot; 제조 공급사를 찾고 계십니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",베트남,중소벤처기업진흥공단,2024-07-03,2024-07-17
145,나이지리아 바이어가 전자 시그널 분석에 필요한  피지오그래프(Physiograph) 분석기를 찾고 있습니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",나이지리아,중소벤처기업진흥공단,2024-07-03,2024-07-19
146,미국 바이어가 PVC 열수축 튜브 공급업체를 찾고 있습니다.,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",미국,중소벤처기업진흥공단,2024-07-04,2024-07-12
147,바레인바이어가 금고(Safe Box 제조업체 또는 공급업체를 찾고 있습니다.,"가정, 조명 및 장치 (Home, Lights & Construction)",바레인,중소벤처기업진흥공단,2024-07-05,2024-07-26
148,싱가포르 바이어가 상온에서 유통 가능한 &apos;비빔밥(Bibimbap)&apos; 제품을 찾고 있습니다.,농업 및 식품 (Agriculture & Food),싱가포르,중소벤처기업진흥공단,2024-07-08,2024-08-09
149,싱가포르 바이어가 할랄인증 획득한 &apos;컵 떡볶이(Cup toppoki)&apos; 제품을 찾고 있습니다.,농업 및 식품 (Agriculture & Food),싱가포르,중소벤처기업진흥공단,2024-07-08,2024-07-31
150,"남아프리카공화국 바이어가 스포츠, 헬스용 속옷 및 의류를 찾고 있습니다","의류, 직물 및 액세서리 (Apparel, Textiles & Accessories)",남아프리카공화국,중소벤처기업진흥공단,2024-07-10,2024-07-19
151,이스라엘 바이어가 세면대 워터필터 를 찾고 있습니다.,"가정, 조명 및 장치 (Home, Lights & Construction)",아이슬란드,중소벤처기업진흥공단,2024-07-15,2024-07-26
152,스페인 바이어가 기초 메이크업(화장품) 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),스페인,중소벤처기업진흥공단,2024-07-16,2024-07-19
153,스페인 바이어가 바디케어 및 향수 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),스페인,중소벤처기업진흥공단,2024-07-16,2024-07-19
154,"몽골 바이어가 바디로션&amp;워시, 핸드로션&amp;워시, 샴푸 공급사를 찾고 있습니다.",건강 및 미용 (Health & Beauty),몽골,중소벤처기업진흥공단,2024-07-17,2024-07-26
155,"몽골 바이어가 맥주, 소주등 알콜 음료 공급사를 찾고 있습니다.",농업 및 식품 (Agriculture & Food),몽골,중소벤처기업진흥공단,2024-07-17,2024-07-31
156,"사우디아라비아 바이어가 발수제, 건설용 실리콘(Water Repellent, Construction Silicon) 제조업체를 찾고 계십니다.","기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",사우디아라비아,중소벤처기업진흥공단,2024-07-17,2024-07-31
157,"호주 바이어가 마켓 및 푸드체인에 판매 가능한 글루텐프리(Gluten-Free) 마케팅포인트 식품(스낵, 바 등)을 찾고 있습니다.",농업 및 식품 (Agriculture & Food),오스트레일리아,중소벤처기업진흥공단,2024-07-18,2024-07-25
158,미국 바이어가 스낵 및 화장품 등을 포장할 플라스틱 백(Plastic Bags) 공급업체를 찾고 있습니다.,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",미국,중소벤처기업진흥공단,2024-07-19,2024-07-22
159,인도 바이어가 차량용 동력 조향장치 제조사를 찾고 있습니다. (특정 사양 無),"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",인도,중소벤처기업진흥공단,2024-07-19,2024-07-26
160,영국 바이이가 이동형고압세척기기(스팀기능) (Portable hot water pressure washer + steam) 공급업체를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",영국,중소벤처기업진흥공단,2024-07-23,2024-08-09
161,베트남 바이어가 더운 지역 특성에 맞춘 산뜻한 마무라감의 기초 스킨케어  제품을 찾고 계십니다.,건강 및 미용 (Health & Beauty),베트남,중소벤처기업진흥공단,2024-07-23,2024-07-26
162,"베트남 바이어가 다이어트 보조제, 이너뷰터 (콜라겐, 글루타지온 등) 제품을 찾고 계십니다.",건강 및 미용 (Health & Beauty),베트남,중소벤처기업진흥공단,2024-07-23,2024-07-31
163,"뉴질랜드바이어가 혈당패치, 혈장측정워치(모니터링 워치) 공급사를 찾고 계십니다.",건강 및 미용 (Health & Beauty),뉴질랜드,중소벤처기업진흥공단,2024-07-23,2024-08-09
164,싱가포르에 본사를 두고있는 베트남 바이어가 음료수 OEM 제조공급업체를 찾고 계십니다.,농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-07-23,2024-08-06
165,"대만 바이어가 스낵 등 간식류 제품(confectionary - snack, cereal, chocolate, biscuits, cookie)의 제조업체를 찾고 있습니다.",농업 및 식품 (Agriculture & Food),대만,중소벤처기업진흥공단,2024-07-23,2024-07-30
166,인도 바이어가 원데이 컬러콘택트렌즈 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),인도,중소벤처기업진흥공단,2024-07-25,2024-07-31
167,인도 바이어가  카 스테레오 관련 공급사를 찾고 있습니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",인도,중소벤처기업진흥공단,2024-07-25,2024-08-16
168,베트남 바이어가 비건 스낵(Vegan Snack)제품 공급자를 찾습니다,농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-07-25,2024-07-26
169,"태국 바이어가 이너뷰티(Collagen, Glutathione) 제품 공급자를 찾습니다.",건강 및 미용 (Health & Beauty),타이,중소벤처기업진흥공단,2024-07-25,2024-07-26
170,예멘 바이어가 가슴 보형물 및 가슴 성형 기계 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),예맨,중소벤처기업진흥공단,2024-07-25,2024-08-16
171,이라크 바이어가  화장품(페이스 크림 및 페이스 세럼) 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),이라크,중소벤처기업진흥공단,2024-07-26,2024-07-31
172,스페인 바이어가 비건 스킨케어 제품을 찾고 있습니다. (CPNP 필수 / 특정 조건 O),건강 및 미용 (Health & Beauty),스페인,중소벤처기업진흥공단,2024-07-29,2024-08-02
173,홍콩 바이어가  비건  식품 (Snack and Noodle)을 찾고 있습니다.,농업 및 식품 (Agriculture & Food),홍콩,중소벤처기업진흥공단,2024-07-29,2024-08-02
174,이란 바이어가 휴대용 엑스레이 카메라 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),이란,중소벤처기업진흥공단,2024-07-30,2024-08-07
175,인도바이어가 지방흡입기기를 찾습니다. (Power assisted Liposuction machine and  battery dermatome) 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),인도,중소벤처기업진흥공단,2024-07-30,2024-08-07
176,싱가포르 바이어가 마데카소사이드 토너패드 브랜드 공급업체 (올리브영 입점)를 찾고 계십니다.,건강 및 미용 (Health & Beauty),싱가포르,중소벤처기업진흥공단,2024-08-06,2024-08-09
177,홍콩 바이어가  통증 완화 기기를 찾고 있습니다. (ESWT/IFT/PEMF 등등-사진첨부)),건강 및 미용 (Health & Beauty),홍콩,중소벤처기업진흥공단,2024-08-07,2024-08-13
178,일본 바이어가 미용에 사용되는 리프팅실(aesthetic lifting thread) 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),일본,중소벤처기업진흥공단,2024-08-07,2024-08-14
179,몽골 바이어가  3톤 LPG 탱크로리(LPG tank-lorry)를 찾고 있습니다.,자동 및 수송 (Auto & Transportation),몽골,중소벤처기업진흥공단,2024-08-07,2024-08-13
180,호주 바이어가 숙취해소 음료 공급업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),오스트레일리아,중소벤처기업진흥공단,2024-08-07,2024-11-14
181,인도네시아 바이어가 통신용 VCSEL 공급업체를 찾고 있습니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",인도네시아,중소벤처기업진흥공단,2024-08-07,2024-08-13
182,말레이시아 바이어가 바이어 브랜드(OEM)의 페이스 세럼(Face serum) 제조사(공급사)를 찾고 있습니다.,건강 및 미용 (Health & Beauty),말레이시아,중소벤처기업진흥공단,2024-08-08,2024-10-14
183,말레이시아 바이어가 바이어 브랜드(OEM)의 비누(Soap) 제조사(공급사)를 찾고 있습니다.,건강 및 미용 (Health & Beauty),말레이시아,중소벤처기업진흥공단,2024-08-08,2024-09-30
184,인도 바이어가 고추 건조기 및 고춧가루 분쇄기를 찾습니다,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",인도,중소벤처기업진흥공단,2024-08-08,2024-08-30
185,키프러스(사이프러스) 바이이가 휴대용 워터픽(Cordless Water Flosser) 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),사이프러스,중소벤처기업진흥공단,2024-08-12,2024-08-23
186,홍콩 바이어가  화장품(시트 마스크) 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),홍콩,중소벤처기업진흥공단,2024-08-12,2024-08-14
187,미국 바이어가 가위형 리프트(스카이 리프트) 관련 공급사를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",미국,중소벤처기업진흥공단,2024-08-13,2024-08-30
188,인도 바이어가 아크릴로니트릴 부타디엔 스티렌 (Acrylonitrile Butadiene Styren_ABS) 관련 공급사를 찾고 있습니다,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",인도,중소벤처기업진흥공단,2024-08-22,2024-09-13
189,미국 바이어가 헤어 악세사리 (Hair Accessories)관련 공급사를 찾고 있습니다,"가방, 신발 및 액세서리 (Bags, Shoes & Accessories)",미국,중소벤처기업진흥공단,2024-08-26,2024-09-30
190,미국 바이어가 눈썹 면도칼 제조 업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-08-14,2024-08-23
191,방글라데시 바이어가 알약 검사 장비 및 캡슐층진기 (Tablet/capsule inspection and Capsule filling machine)공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),방글라데시,중소벤처기업진흥공단,2024-08-14,2024-09-13
192,뉴질랜드 바이어가 물엿과 고추장 제조사를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),뉴질랜드,중소벤처기업진흥공단,2024-08-14,2024-08-30
193,인도네시아 커피체인 유통바이어가 스낵용 트레이(Snack Tray for Restaurant Chain) 제품을 찾고 있습니다.,"가정, 조명 및 장치 (Home, Lights & Construction)",인도네시아,중소벤처기업진흥공단,2024-08-14,2024-09-06
194,"아랍에미리트 바이어가 탈모방지 헤어/두피 앰플, 세럼(Anti-hairloss ampoule, serum) 제품을 찾고 있습니다.",건강 및 미용 (Health & Beauty),아랍에미리트,중소벤처기업진흥공단,2024-08-14,2024-08-21
195,이집트 바이어가  에어리스 페인팅 스프레이 분무기(Airless Painting Spray Pump) 관련 공급사를 찾고 있습니다,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",이집트,중소벤처기업진흥공단,2024-08-14,2024-08-30
196,인도 바이어가 솔벤트(C9 Solvent 및 C10 Solvent) 및  소듐 라우릴 에테르 설페이트(Sodium Lauryl Ether Sulphate) 관련 공급사를 찾고 있습니다,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",인도,중소벤처기업진흥공단,2024-08-22,2024-09-20
197,인도 바이어가 다이옥틸 프탈레이트(Dioctyl Phthalate_DOP) 관련 공급사를 찾고 있습니다,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",인도,중소벤처기업진흥공단,2024-08-22,2024-09-13
198,홍콩 바이어가 여드름 치료용 마이크로니들 패치 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),홍콩,중소벤처기업진흥공단,2024-08-26,2024-09-04
199,미국 바이어가 악세서리 재료 및 쥬얼리(Accessory &amp; Materia) 공급자를 찾습니다.,"가방, 신발 및 액세서리 (Bags, Shoes & Accessories)",미국,중소벤처기업진흥공단,2024-08-26,2024-08-30
200,독일 바이어가 Beauty of Joseon 제품 공급이 가능한 공급업자를  찾고 있습니다,건강 및 미용 (Health & Beauty),독일,중소벤처기업진흥공단,2024-08-28,2024-09-06
201,방글라데시 바이어가 특수차량 공급업체를 찾고 있습니다.,자동 및 수송 (Auto & Transportation),방글라데시,중소벤처기업진흥공단,2024-08-28,2024-09-10
202,"방글라데시 바이어가 구명조끼, 구명정,  방탄조끼, 소방장갑 등의 보호 관련 상품을 찾습니다","가정, 조명 및 장치 (Home, Lights & Construction)",방글라데시,중소벤처기업진흥공단,2024-08-29,2024-09-10
203,"인도 바이어가 골프웨어, 골프 악세서리 등 다양한 골프용품을 찾고 있습니다.","선물, 스포츠 및 장난감 (Gifts, Sports & Toys)",인도,중소벤처기업진흥공단,2024-08-30,2024-09-10
204,인도 바이어가 패션 액세서리를  찾고 있습니다,"가방, 신발 및 액세서리 (Bags, Shoes & Accessories)",인도,중소벤처기업진흥공단,2024-08-30,2024-09-05
205,인도 바이어가 네일 용품업체를  찾고 있습니다,건강 및 미용 (Health & Beauty),인도,중소벤처기업진흥공단,2024-08-30,2024-09-05
206,"싱가포르 소규모 네일 체인 바이어가 네일 매니큐어(Nail Polisher, file) 관련 제품을 찾고 있습니다.",건강 및 미용 (Health & Beauty),싱가포르,중소벤처기업진흥공단,2024-08-30,2024-09-12
207,홍콩 바이어가 체외 충격파 치료기 관련 공급사를 찾고 있습니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",홍콩,중소벤처기업진흥공단,2024-09-02,2024-10-11
208,칠레 바이어가 에너지스토리지(Energy storage)와 모듈식전해조(Modular electrolyzer) 공급업체를 찾고 있습니다.,"전자 장비, 부품 및 전기통신 (Electronic Equipment, Component & Telecoms)",칠레,중소벤처기업진흥공단,2024-09-03,2024-09-09
209,"칠레 바이어가 유아, 어린이심리발달에 좋은 운동놀이기구 공급업체를 찾고 있습니다.","선물, 스포츠 및 장난감 (Gifts, Sports & Toys)",칠레,중소벤처기업진흥공단,2024-09-03,2024-09-09
210,캐나다 바이어가 제브라 블라인드용 원단  관련 공급사를 찾고 있습니다.,"의류, 직물 및 액세서리 (Apparel, Textiles & Accessories)",캐나다,중소벤처기업진흥공단,2024-09-03,2024-10-11
211,쿠웨이트 바이어가 코직산 비누(Kojic Acid Soap) 제조사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),쿠웨이트,중소벤처기업진흥공단,2024-09-04,2024-09-10
212,브라질 바이어가 [속눈썹 연장용 접착제/속눈썹용 접착제/네일용 접착제] 를 모두 취급하는 국내 제조사 및 유통사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),브라질,중소벤처기업진흥공단,2024-09-04,2024-09-10
213,아르헨티나 바이어가 대형 원형 파이프 절단 기계 (Big diameter tube cutting machines) 공급사를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",아르헨티나,중소벤처기업진흥공단,2024-09-05,2024-09-30
214,홍콩 바이어가 유자차 공급 업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),홍콩,중소벤처기업진흥공단,2024-09-09,2024-09-19
215,베트남 바이어가 유기농 인증 획득한 &apos;유아/어린이용 유기농 홍삼&apos; 제품 찾고 있습니다.,농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-09-09,2024-09-20
216,캄보디아 바이어가 핫도그파우더 믹스(Hot Dog Powder Mix) 공급업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),캄보디아,중소벤처기업진흥공단,2024-09-10,2024-09-20
217,영국 바이어가 레이저 제모기기 관련 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),영국,중소벤처기업진흥공단,2024-09-10,2024-10-11
218,쿠웨이트 바이어가 비듬 제거에 특화된 샴푸 제조사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),쿠웨이트,중소벤처기업진흥공단,2024-09-10,2024-09-20
